,Country,City,Temperature,Max Temperature,Humidity,Cloud,Wind Speed,Latitude,Longtitude
0,RE,Saint-Philippe,67.59,73.4,73,22,6.93,-21.36,55.77
1,CR,Paraíso,75.2,75.2,78,97,6.93,9.84,-83.87
2,CL,Punta Arenas,42.39,42.8,87,75,11.41,-53.15,-70.92
3,CN,Helong,46.74,46.74,41,0,6.62,42.54,129.0
4,AR,Ushuaia,39.2,39.2,80,40,5.82,-54.8,-68.3
5,US,Half Moon Bay,53.94,57.99,87,90,3.36,37.46,-122.43
6,ZA,Cape Town,63.45,64.99,93,75,24.16,-33.93,18.42
7,CN,Bijie,51.48,51.48,46,94,3.91,27.31,105.29
8,US,Cedar City,52.43,53.6,50,90,9.17,37.68,-113.06
9,RU,Pevek,11.39,11.39,92,6,13.89,69.7,170.31
10,MX,San Quintín,59.65,59.65,81,20,15.14,30.48,-115.95
11,ZM,Namwala,62.11,62.11,64,99,3.13,-15.75,26.44
12,NG,Yaan,73.71,73.71,62,100,3.83,7.38,8.57
13,US,Kapaa,75.42,78.8,78,90,12.75,22.08,-159.32
14,US,Albany,33.24,39.0,90,1,8.05,42.6,-73.97
15,CN,Dali,71.64,71.64,14,0,3.47,25.7,100.18
16,RU,Palana,20.98,20.98,92,26,6.02,59.12,159.97
17,AU,Busselton,77.18,80.01,40,75,9.98,-33.65,115.33
18,CK,Avarua,84.2,84.2,89,100,2.24,-21.21,-159.78
19,ES,La Carolina,55.0,55.0,79,96,1.99,38.28,-3.62
20,CN,Yumen,54.59,54.59,16,75,3.85,40.28,97.2
21,ID,Amahai,84.52,84.52,69,34,0.83,-3.33,128.92
22,BR,Arraial do Cabo,72.41,72.41,76,79,5.82,-22.97,-42.03
23,CA,Burns Lake,32.04,32.04,64,0,1.66,54.23,-125.75
24,PF,Rikitea,78.55,78.55,77,91,7.2,-23.12,-134.97
25,MN,Khovd,45.39,45.39,29,100,3.98,48.01,91.64
26,NZ,Mataura,71.01,71.01,52,18,7.0,-46.19,168.86
27,ZA,Port Elizabeth,64.4,64.4,59,60,3.36,-33.92,25.57
28,CA,Yellowknife,17.6,17.6,44,20,14.99,62.46,-114.35
29,VE,Ciudad Bolivar,83.35,83.35,55,99,15.9,8.12,-63.55
30,ZA,Hermanus,63.0,63.0,96,100,10.0,-34.42,19.23
31,EC,Puerto Ayora,79.0,79.0,86,53,1.01,-0.74,-90.35
32,AU,New Norfolk,58.03,61.0,55,75,10.29,-42.78,147.06
33,RU,Talnakh,30.2,30.2,80,40,38.03,69.49,88.4
34,RU,Nikolskoye,23.0,23.0,92,6,2.24,59.7,30.79
35,NO,Mehamn,24.8,24.8,73,100,14.99,71.04,27.85
36,ZA,Richards Bay,69.67,69.67,86,1,12.35,-28.78,32.04
37,US,La Palma,59.0,63.0,67,20,8.05,33.85,-118.05
38,US,Rome,30.83,34.0,68,1,4.38,43.21,-75.46
39,RU,Teya,36.48,36.48,82,0,2.91,60.38,92.63
40,TO,Vaini,80.6,80.6,65,40,9.17,-21.2,-175.2
41,US,Hilo,73.27,82.4,61,1,5.82,19.73,-155.09
42,RU,Evensk,15.84,15.84,88,100,0.69,61.95,159.23
43,PE,Pisco,73.22,73.4,78,90,4.7,-13.7,-76.22
44,AU,Carnarvon,82.4,82.4,61,7,19.46,-24.87,113.63
45,PK,Tando Muhammad Khan,89.31,89.31,21,13,8.99,25.12,68.54
46,KM,Mitsamiouli,83.82,83.82,73,100,8.01,-11.38,43.28
47,MU,Mahébourg,78.19,80.01,78,40,14.99,-20.41,57.7
48,GL,Qaanaaq,12.18,12.18,72,100,5.19,77.48,-69.36
49,ZA,Port Alfred,70.0,70.0,68,37,4.0,-33.59,26.89
50,BR,Canutama,75.2,75.2,94,100,3.94,-6.53,-64.38
51,GF,Sinnamary,78.96,78.96,79,100,13.06,5.38,-52.95
52,TL,Airai,66.65,66.65,69,97,0.94,-8.93,125.41
53,UA,Velyka Bahachka,33.44,33.44,85,0,7.87,49.79,33.72
54,US,Mattawa,52.16,55.99,20,1,18.34,46.74,-119.9
55,MY,George Town,88.25,89.6,70,20,4.7,5.41,100.34
56,GL,Ilulissat,28.4,28.4,68,86,8.05,69.22,-51.1
57,US,Saint Paul Harbor,37.4,37.4,86,90,18.34,57.79,-152.41
58,BR,Santo Antônio do Içá,74.8,74.8,95,100,6.17,-3.1,-67.94
59,BR,Brasília de Minas,68.54,68.54,77,32,3.31,-16.21,-44.43
60,US,Jamestown,34.07,39.0,55,1,3.36,42.1,-79.24
61,CA,Smithers,46.4,46.4,26,5,6.93,54.78,-127.17
62,RU,Provideniya,32.54,32.54,93,100,6.29,64.38,-173.3
63,BY,Horki,31.21,31.21,82,4,7.14,54.29,30.98
64,IT,Laas,43.41,50.0,80,5,4.7,46.62,10.7
65,NZ,Dunedin,62.01,62.01,70,100,11.01,-45.87,170.5
66,CA,Norman Wells,28.4,28.4,42,40,3.2,65.28,-126.83
67,RU,Yasenskaya,42.89,42.89,63,19,13.38,46.36,38.27
68,HK,Hong Kong,70.52,73.0,46,20,17.22,22.29,114.16
69,AU,Geraldton,82.6,82.99,65,75,11.41,-28.77,114.6
70,RU,Saskylakh,4.95,4.95,91,0,7.52,71.92,114.08
71,BR,Castro,55.18,55.18,73,32,5.53,-24.79,-50.01
72,RU,Srednekolymsk,30.49,30.49,97,33,10.67,67.45,153.68
73,KI,Butaritari,83.01,83.01,75,98,10.04,3.07,172.79
74,MG,Sambava,74.66,74.66,83,27,8.28,-14.27,50.17
75,ZA,Saldanha,60.8,60.8,93,100,17.22,-33.01,17.94
76,NZ,Kaitangata,64.99,64.99,63,86,14.45,-46.28,169.85
77,NA,Lüderitz,60.8,60.8,72,0,5.82,-26.65,15.16
78,PH,Catuday,83.34,83.34,62,28,10.51,16.29,119.81
79,VE,San Joaquin,76.32,76.32,66,82,4.21,10.26,-67.79
80,AU,Hobart,58.24,61.0,55,75,10.29,-42.88,147.33
81,US,Mayo,46.9,52.0,70,1,2.28,38.89,-76.51
82,ZA,Elliot,60.19,60.19,39,80,13.85,-31.33,27.85
83,PT,Lata,54.46,57.0,93,75,5.82,40.16,-8.33
84,VU,Isangel,86.0,86.0,55,20,5.82,-19.55,169.27
85,TH,Mae Hong Son,80.6,80.6,57,100,2.24,19.3,97.97
86,US,Sterling,46.22,51.01,52,40,2.42,39.01,-77.43
87,RU,Leningradskiy,18.28,18.28,91,85,4.36,69.38,178.42
88,VU,Sola,81.48,81.48,72,95,11.88,-13.88,167.55
89,RU,Dikson,14.99,14.99,96,100,9.95,73.51,80.55
90,AU,Mount Gambier,57.2,57.2,62,90,6.93,-37.83,140.77
91,AO,Lucapa,66.06,66.06,75,95,3.8,-8.42,20.74
92,AR,Río Gallegos,46.4,46.4,70,90,17.22,-51.62,-69.22
93,MX,Cabo San Lucas,65.7,69.01,63,75,10.29,22.89,-109.91
94,SJ,Longyearbyen,-5.8,-5.8,86,74,4.81,78.22,15.64
95,NU,Alofi,84.2,84.2,70,99,12.75,-19.06,-169.92
96,ZA,Kruisfontein,60.84,60.84,54,100,8.32,-34.0,24.73
97,IN,Kattivākkam,82.71,82.99,83,40,2.24,13.22,80.32
98,NA,Oranjemund,57.96,57.96,92,50,0.81,-28.55,16.43
99,US,Pacific Grove,53.91,57.0,76,90,4.7,36.62,-121.92
100,GA,Port-Gentil,79.27,79.27,84,99,13.6,-0.72,8.78
101,CL,Constitución,52.57,52.57,81,75,10.02,-35.33,-72.42
102,RU,Yar-Sale,12.34,12.34,91,44,4.05,66.83,70.83
103,ML,Goundam,86.61,86.61,23,45,6.78,16.41,-3.67
104,GT,Barillas,68.16,68.16,44,26,1.25,15.8,-91.32
105,US,Morehead,55.06,59.0,62,1,3.36,37.27,-87.18
106,ZA,East London,76.1,76.1,57,100,8.7,-33.02,27.91
107,CL,Valdivia,35.6,35.6,100,0,3.36,-39.81,-73.25
108,US,Griffith,50.4,54.0,76,90,10.29,41.53,-87.42
109,MA,Tiznit Province,57.67,57.67,71,96,4.52,29.58,-9.5
110,CN,Chaozhou,64.4,64.4,55,20,15.66,23.67,116.64
111,US,Salinas,54.18,57.99,76,90,9.17,36.68,-121.66
112,CA,Pangnirtung,25.32,25.32,88,100,8.16,66.15,-65.71
113,CA,Clyde River,1.4,1.4,84,1,13.87,70.47,-68.59
114,ID,Bengkulu,88.03,88.03,62,45,3.83,-3.8,102.27
115,RU,Oktyabr'skiy,39.22,39.22,80,100,5.41,54.48,53.47
116,NA,Gobabis,60.8,60.8,82,61,2.24,-22.45,18.97
117,CA,Torbay,32.68,34.0,96,5,18.34,47.67,-52.73
118,ES,Los Llanos de Aridane,66.2,66.2,72,90,9.17,28.66,-17.92
119,RU,Severnyy,30.2,30.2,74,0,13.42,50.68,36.55
120,RU,Letka,26.49,26.49,95,100,8.84,59.6,49.42
121,RO,Asău,34.14,37.0,57,14,3.36,46.43,26.4
122,RU,Ostrovnoy,14.67,14.67,93,0,10.6,68.05,39.51
123,RU,Sharlyk,38.79,38.79,74,100,12.3,52.92,54.75
124,PG,Daru,85.21,85.21,69,62,9.53,-9.08,143.21
125,NG,Kontagora,80.26,80.26,37,21,3.96,10.4,5.47
126,PF,Fare,83.44,83.44,70,60,10.96,-16.7,-151.02
127,NO,Vardø,26.17,26.17,94,48,10.33,70.37,31.11
128,JP,Iwata,59.32,60.01,47,75,3.36,34.7,137.85
129,US,Palmer,35.78,39.99,41,1,6.93,42.16,-72.33
130,BR,São Félix do Xingu,74.01,74.01,91,97,0.49,-6.64,-51.99
131,RU,Tiksi,6.48,6.48,90,94,19.98,71.69,128.87
