,Country,City,Temperature,Max Temperature,Humidity,Cloud,Wind Speed,Latitude,Longtitude
0,NZ,Mataura,283.15,283.15,88,92,5.36,-46.19,168.86
1,EC,Puerto Ayora,297.59,297.59,88,83,2.37,-0.74,-90.35
2,AR,Ushuaia,289.15,289.15,55,75,10.8,-54.8,-68.3
3,CL,Punta Arenas,288.15,288.15,58,99,7.2,-53.15,-70.92
4,NZ,Tuatapere,283.15,283.15,88,90,5.36,-46.13,167.68
5,CK,Avarua,301.15,301.15,74,75,3.1,-21.21,-159.78
6,CA,Torbay,268.68,270.93,79,40,4.1,47.67,-52.73
7,CA,Tuktoyaktuk,257.81,257.81,91,93,4.06,69.45,-133.04
8,ID,Denpasar,304.15,304.15,84,20,4.1,-8.65,115.22
9,RU,Leningradskiy,258.83,258.83,89,97,1.63,69.38,178.42
10,PE,El Alto,295.79,295.79,77,89,3.14,-4.27,-81.21
11,ZA,Hermanus,286.65,286.65,63,67,6.01,-34.42,19.23
12,ZA,Port Alfred,288.81,288.81,66,62,4.78,-33.59,26.89
13,AU,Busselton,302.08,303.15,25,0,5.67,-33.65,115.33
14,NZ,Bluff,283.15,283.15,88,89,3.58,-46.6,168.33
15,ID,Bengkulu,304.32,304.32,58,82,3.91,-3.8,102.27
16,RU,Dikson,260.21,260.21,90,0,3.13,73.51,80.55
17,AR,Mar del Plata,282.0,283.71,87,0,4.34,-38.0,-57.56
18,PF,Atuona,301.29,301.29,76,6,7.53,-9.8,-139.03
19,MU,Mahébourg,302.11,302.15,58,40,6.7,-20.41,57.7
20,ZA,Cape Town,287.0,288.71,71,80,0.5,-33.93,18.42
21,GT,San Juan Ixcoy,286.84,286.84,30,72,0.83,15.6,-91.45
22,US,Kapaa,294.77,295.15,83,1,3.6,22.08,-159.32
23,HK,Hong Kong,296.12,298.15,57,20,4.1,22.29,114.16
24,TO,Vaini,298.15,298.15,100,90,2.1,-21.2,-175.2
25,MU,Souillac,302.1,302.15,58,40,6.7,-20.52,57.52
26,BR,Cidreira,288.27,288.27,70,50,5.55,-30.18,-50.21
27,ZA,De Aar,281.15,281.15,35,40,4.6,-30.65,24.01
28,PG,Kavieng,302.63,302.63,72,99,4.25,-2.57,150.8
29,KI,Butaritari,302.02,302.02,78,94,5.58,3.07,172.79
30,US,Eureka,282.97,284.15,93,90,1.2,40.8,-124.16
31,NZ,Te Anau,282.54,282.54,69,84,2.65,-45.42,167.72
32,AU,New Norfolk,285.21,287.59,58,20,3.1,-42.78,147.06
33,IT,Fossombrone,284.3,285.37,50,0,1.0,43.69,12.81
34,MV,Hithadhoo,302.55,302.55,73,96,5.13,-0.6,73.08
35,BG,Belene,275.15,275.15,74,5,2.1,43.65,25.12
36,TM,Akdepe,280.15,280.15,28,98,7.2,42.06,59.38
37,PF,Rikitea,297.99,297.99,82,53,6.37,-23.12,-134.97
38,DE,Steinbach am Taunus,285.68,288.15,62,0,3.1,50.17,8.57
39,FO,Klaksvík,277.15,277.15,80,51,10.8,62.23,-6.59
40,AU,Port Macquarie,292.63,293.71,77,42,3.6,-31.43,152.92
41,RU,Anadyr,257.09,257.15,71,27,2.0,64.75,177.48
42,RU,Provideniya,261.15,261.15,66,20,5.0,64.38,-173.3
43,BR,Castro,287.24,287.24,72,88,1.66,-24.79,-50.01
44,NG,Yaan,298.99,298.99,77,100,3.93,7.38,8.57
45,LR,Harper,300.03,300.03,83,33,2.81,4.38,-7.72
46,BR,Caravelas,298.19,298.19,83,50,3.77,-17.71,-39.25
47,PT,Ponta do Sol,289.8,291.15,82,20,1.53,32.67,-17.1
48,RU,Kharitonovo,272.17,272.17,95,99,3.49,61.4,47.5
49,US,Bethel,281.66,283.71,75,90,2.1,41.37,-73.41
50,ZA,Bredasdorp,288.15,288.15,62,45,2.1,-34.53,20.04
51,US,Hilo,292.16,295.15,83,90,3.6,19.73,-155.09
52,GB,Northam,284.21,284.82,85,99,0.81,51.03,-4.22
53,CV,São Filipe,296.68,296.68,71,0,4.65,14.9,-24.5
54,US,Saint Paul Harbor,273.15,273.15,94,90,11.3,57.79,-152.41
55,GB,Margate,284.19,286.48,93,85,1.0,51.38,1.39
56,NZ,Ahipara,291.31,291.31,83,28,5.44,-35.17,173.17
57,GL,Nanortalik,271.6,271.6,87,100,4.49,60.14,-45.24
58,IN,Tura,308.23,308.23,19,0,3.23,25.52,90.22
59,AU,Hobart,285.26,287.59,58,20,3.1,-42.88,147.33
60,IS,Husavik,269.15,269.15,85,90,3.6,66.04,-17.34
61,ZA,Port Elizabeth,290.15,290.15,59,75,4.6,-33.92,25.57
62,EC,Manta,298.15,298.15,88,75,1.0,-0.95,-80.73
63,NC,Vao,297.12,297.12,77,59,8.1,-22.67,167.48
64,RU,Tigil',271.06,271.06,95,0,3.47,57.8,158.67
65,BR,Rio Grande,286.92,286.92,73,31,6.98,-32.03,-52.1
